name,id,height,average_height_parents,gender
Stefanie,1,162,161.5,female
Peter,2,163,163.5,male
Stefanie,3,163,163.2,female
Manuela,4,164,165.1,female
Simon,5,164,163.2,male
Sophia,6,164,164.4,female
Ellen,7,164,164.0,female
Emilia,8,165,165.2,female
Lina,9,165,165.2,female
Marie,10,165,165.1,female
Lena,11,165,166.3,female
Mila,12,165,167.4,female
Fin,13,165,165.5,male
Eric,14,166,166.2,male
Pia,15,166,166.1,female
Marc,16,166,166.5,male
Ralph,17,166,166.6,male
Tom,18,167,166.2,male
Steven,19,167,167.3,male
Emanuel,20,168,168.5,male
